property_number,venue_name,venue_address,space_type,website,lat,lon,location
101450,Dan O'Connell Hotel,"223-227 Canning Street, Carlton, 3053",Hotel,http://www.thedan.com.au/,-37.7930358326425,144.9735256623954,POINT (144.973525662395 -37.793035832642)
110736,National Gallery of Victoria,"180 St Kilda Road, Southbank, 3006",Amusement/Theme Venue,https://www.ngv.vic.gov.au/,-37.82289869795763,144.9695692957962,POINT (144.969569295796 -37.822898697958)
108547,Exford Hotel,"199-203 Russell Street, Melbourne, 3000",Hotel,http://www.exfordhotel.com.au/,-37.81176295391396,144.96743873754548,POINT (144.967438737545 -37.811762953914)
103994,Insignia On Flinders,"502-504 Flinders Street, Melbourne, 3000",Bar,https://www.zomato.com/melbourne/insignia-flinders-street-cbd-melbourne,-37.82013879156501,144.95772242087293,POINT (144.957722420873 -37.820138791565)
104000,Immigration Museum,"400-424 Flinders Street, Melbourne, 3000",Museum,https://museumsvictoria.com.au/immigrationmuseum/,-37.81931971370013,144.96049295002675,POINT (144.960492950027 -37.8193197137)
106329,Hardimans Hotel,"521 Macaulay Road, Kensington, 3031",Hotel,http://www.hardimans.com.au/,-37.79436125976925,144.92860315925475,POINT (144.928603159255 -37.794361259769)
107429,Park Hyatt Melbourne,"20 Parliament Place, East Melbourne, 3002",Accommodation,https://melbourne.park.hyatt.com/en/hotel/home.html,-37.811280207254434,144.97559084778078,POINT (144.975590847781 -37.811280207254)
614006,New Market Studios,"87-91 Arden Street, North Melbourne, 3051",,,-37.80085694095499,144.94761918548477,POINT (144.947619185485 -37.800856940955)
111467,Sea Life Melbourne Aquarium,"Sea Life Melbourne Aquarium, King Street, Melbourne, 3000",Amusement/Theme Venue,https://www.melbourneaquarium.com.au/,-37.8209995658432,144.95804714265464,POINT (144.958047142655 -37.820999565843)
547254,Club Voltaire,"Gnd & Level 1, 14 Raglan Street, North Melbourne, 3051",Venue,https://www.facebook.com/clubvoltairemelbourne/,-37.80432381180095,144.95011526791205,POINT (144.950115267912 -37.804323811801)
567671,The Butterfly Club,"Level 1-3, 256 Collins Street, Melbourne, 3000",,,-37.81569096024321,144.96536899928205,POINT (144.965368999282 -37.815690960243)
105379,Colonial Hotel/Brown Alley Night Club,"240 King Street, Melbourne, 3000",Hotel,https://www.thecolonialhotel.com.au/,-37.81460565414994,144.95509368927424,POINT (144.955093689274 -37.81460565415)
105490,RMIT University,"100-186 La Trobe Street, Melbourne, 3000",Gallery,https://www.rmit.edu.au/events/contact/venue-enquiries,-37.809097098049996,144.96503629766326,POINT (144.965036297663 -37.80909709805)
106254,Trades Hall,"2 Lygon Street, Carlton, 3053",Bar,https://www.bellaunion.com.au/,-37.80683784363076,144.96605581842582,POINT (144.966055818426 -37.806837843631)
644830,Bird's Basement,"11 Singers Lane, Melbourne, 3000",Venue,https://birdsbasement.com/,-37.8112098332617,144.95679721844013,POINT (144.95679721844 -37.811209833262)
101160,The Royal Melbourne Hotel,"621-633 Bourke Street, Melbourne, 3000",,,-37.816698511726194,144.95514280793918,POINT (144.955142807939 -37.816698511726)
106081,The Curtin,"John Curtin Hotel, 27-31 Lygon Street, Carlton, 3053",Venue,http://www.johncurtinhotel.com/,-37.806212169256085,144.9658160624824,POINT (144.965816062482 -37.806212169256)
110484,The Plenary Hall,"2 Clarendon Street, South Wharf, 3006",Multi-use,http://mcec.com.au/plan-an-event/rooms/plenary/,-37.823627136260576,144.9560231776494,POINT (144.956023177649 -37.823627136261)
105705,Club Retro,"383 Lonsdale Street, Melbourne, 3000",Nightclub,http://www.clubretro.com.au/,-37.812729378942684,144.96122123033936,POINT (144.961221230339 -37.812729378943)
665911,Riverland Bar,"Vault, 1-9 Princes Walk, Melbourne, 3000",Bar,http://www.riverlandbar.com/,-37.818689511539546,144.96869720953168,POINT (144.968697209532 -37.81868951154)
560832,Disco Bar,"Level 1-4, 167-175 Franklin Street, Melbourne, 3000",Bar,https://www.tripadvisor.com.au/LocationPhotoDirectLink-g255100-d286290-i126403786-Discovery_Melbourne-Melbourne_Victoria.html,-37.80871596791028,144.95902457942904,POINT (144.959024579429 -37.80871596791)
525750,Mr Tod,"Basement, 2-6 Parliament Place, East Melbourne, 3002",Multi-use,http://www.mrtod.com.au/,-37.81168447518055,144.97552005641302,POINT (144.975520056413 -37.811684475181)
101979,Ormond Hall,"17 Church Street, Parkville, 3052",Performance space,https://www.onlymelbourne.com.au/ormond-hall,-37.78783638375116,144.9416332134173,POINT (144.941633213417 -37.787836383751)
660469,Margaret Court Arena,"Margaret Court Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004",Performance space,https://www.margaretcourtarena.com.au/,-37.8225900077663,144.9779329217489,POINT (144.977932921749 -37.822590007766)
103993,Waterside Hotel,"508-514 Flinders Street, Melbourne, 3000",,,-37.820280653979886,144.95723615975294,POINT (144.957236159753 -37.82028065398)
105313,Victoria University,"225 King Street, Melbourne, 3000",Multi-use,https://www.vu.edu.au/,-37.81498068947084,144.95490184835984,POINT (144.95490184836 -37.814980689471)
577356,Library at The Dock,"107 Victoria Harbour Promenade, Docklands, 3008",Multi-use,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/the-dock/library-at-the-dock/Pages/library-at-the-dock.aspx,-37.819873054704324,144.94075608935833,POINT (144.940756089358 -37.819873054704)
587502,Ms Collins,"Gnd & Mezzanine, 425 Collins Street, Melbourne, 3000",Nightclub,http://www.mscollins.com.au/,-37.8173778889626,144.96055381695814,POINT (144.960553816958 -37.817377888963)
111023,Sidney Myer Music Bowl,"Alexandra Avenue, Melbourne, 3004",,,-37.82300093980653,144.97482025339892,POINT (144.974820253399 -37.823000939807)
614523,The Barre,"100 St Kilda Road, Southbank, 3006",Bar,https://www.artscentremelbourne.com.au/your-visit/eat-drink-shop-rest/the-barre,-37.82150031142338,144.96900573614997,POINT (144.96900573615 -37.821500311423)
540198,Co.,"Shop 53, Level 2, 8 Whiteman Street, Southbank, 3006",Nightclub,http://www.level3atcrown.com.au/,-37.823635015853306,144.95781296125432,POINT (144.957812961254 -37.823635015853)
109257,Young & Jackson,"Young And Jacksons Hotel, 1 Swanston Street, Melbourne, 3000",Hotel,https://www.youngandjacksons.com.au/,-37.81736432768269,144.96721031538397,POINT (144.967210315384 -37.817364327683)
513870,All Nations Backpackers Bar/Ubar,"8 Spencer Street, Melbourne, 3000",,,-37.820719517066344,144.95509884823858,POINT (144.955098848239 -37.820719517066)
503039,Spaghetti Tree Restaurant,"Ground, 59-63 Bourke Street, Melbourne, 3000",Bar,http://www.spaghettitree.com.au/,-37.8119532178998,144.97148245909204,POINT (144.971482459092 -37.8119532179)
103810,RMIT Student Union (RMIT Village),"5-17 Flemington Road, North Melbourne, 3051",Public University/College,https://www.mystudentvillage.com/au/rmit-village/,-37.80095036830012,144.95617406859978,POINT (144.9561740686 -37.8009503683)
622423,Groove Live Bar and Terrace,"Casino, 8 Whiteman Street, Southbank, 3006",,,-37.8237160520609,144.9573055755779,POINT (144.957305575578 -37.823716052061)
628340,The Wharf Hotel,"Shop 17, Ground, 18-38 Siddeley Street, Docklands, 3008",Hotel,https://www.wharfhotel.com.au/,-37.82227454064513,144.9535974644043,POINT (144.953597464404 -37.822274540645)
532712,Cookie,"Unit S2, Level 1, 252 Swanston Street, Melbourne, 3000",Bar,http://www.cookie.net.au/,-37.812105299613584,144.9651302795867,POINT (144.965130279587 -37.812105299614)
681520,401 The Order,"Level 2 & Roof, 401 Swanston Street, Melbourne, 3000",Bar,http://www.theorder.com.au/,-37.809036429996624,144.96337709793107,POINT (144.963377097931 -37.809036429997)
545389,Off The Hip Records,"Basement, 387 Flinders Lane, Melbourne, 3000",Multi-use,https://whatson.melbourne.vic.gov.au/Shopping/BooksMusicandStationery/Music/Pages/1418.aspx,-37.818170221925946,144.9612683910999,POINT (144.9612683911 -37.818170221926)
110392,Fabrique Bar,"272 City Road, Southbank, 3006",Nightclub,http://www.fabriquebar.com/,-37.82629052318406,144.95944606241918,POINT (144.959446062419 -37.826290523184)
508074,The Charles Dickens Tavern,"Basement, 290 Collins Street, Melbourne, 3000",Hotel,https://whatson.melbourne.vic.gov.au/DiningandNightlife/BarsandPubs/AllPubs/Pages/4952.aspx,-37.81593815528815,144.96453019096924,POINT (144.964530190969 -37.815938155288)
622055,Spice Market,"LwrGround, 121-131 Collins Street, Melbourne, 3000",Nightclub,http://www.spicemarket.net.au/,-37.81548538501546,144.96956538490497,POINT (144.969565384905 -37.815485385015)
107919,Sokol Melbourne,"497 Queensberry Street, North Melbourne, 3051",Hotel,http://www.sokolmelbourne.com.au/,-37.80332009816263,144.95076027104383,POINT (144.950760271044 -37.803320098163)
513261,fortyfive downstairs,"Basement & LwrGround, 45 Flinders Lane, Melbourne, 3000",Bar,http://www.fortyfivedownstairs.com/wp2016/,-37.81476781579968,144.97298148815318,POINT (144.972981488153 -37.8147678158)
681564,Speakeasy HQ,"Level 1, 520-522 Flinders Street, Melbourne, 3000",Theatre,http://speakeasy-hq.com/,-37.820357932687585,144.95696625309793,POINT (144.956966253098 -37.820357932688)
614009,The Comic's Lounge,"Level 1, 26 Errol Street, North Melbourne, 3051",Venue,https://www.thecomicslounge.com.au/,-37.80449837044193,144.94954077158977,POINT (144.94954077159 -37.804498370442)
103922,Garden State Hotel,"95-101 Flinders Lane, Melbourne, 3000",Hotel,http://gardenstatehotel.com.au/,-37.81533364912343,144.97103885657114,POINT (144.971038856571 -37.815333649123)
681548,170 Russell/Billboard Nightclub,"Basement,Part Ground & Part Level 8, 180 Russell Street, Melbourne, 3000",Nightclub,http://billboardsaturdays.com.au/,-37.812052247519325,144.96793672846434,POINT (144.967936728464 -37.812052247519)
633734,Melbourne Public,"15 Dukes Walk, South Wharf, 3006",,,-37.82438903938934,144.95063258929684,POINT (144.950632589297 -37.824389039389)
110862,Meat Market Art Centre,"36-54 Courtney Street, North Melbourne, 3051",Theatre,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/meat-market/Pages/meat-market.aspx,-37.80159050732829,144.95372820780835,POINT (144.953728207808 -37.801590507328)
101101,Alexandra Gardens,"Alexandra Avenue, Melbourne, 3004",Performance space,http://www.visitmelbourne.com/regions/High-Country/Travel-information/Visitor-information-centres/Alexandra-Visitor-Information-Centre.aspx,-37.82080257920049,144.97185569304133,POINT (144.971855693041 -37.8208025792)
101613,Clyde Hotel,"377-389 Cardigan Street, Carlton, 3053",Hotel,https://www.theclydehotel.com.au/location/,-37.797284200523016,144.965847915991,POINT (144.965847915991 -37.797284200523)
101130,The Carlton,"193-199 Bourke Street, Melbourne, 3000",Hotel,http://www.thecarlton.com.au/,-37.81309470257678,144.9676166993641,POINT (144.967616699364 -37.813094702577)
631874,Tramp Bar,"Basement, 20 King Street, Melbourne, 3000",Nightclub,https://trampbar.com/,-37.819775804387085,144.95746975329038,POINT (144.95746975329 -37.819775804387)
638448,Southbank Library at Boyd,"Ground, 207 City Road, Southbank, 3006",Library,http://www.melbourne.vic.gov.au/community/libraries/locations/Pages/locations.aspx,-37.8253171546193,144.96107200523335,POINT (144.961072005233 -37.825317154619)
100730,Melbourne Savage Club,"The Melbourne Savage Club, 12-16 Bank Place, Melbourne, 3000",Nightclub,http://melbournesavageclub.com/,-37.81658693170178,144.96043647413035,POINT (144.96043647413 -37.816586931702)
542683,Khokolat Bar,"Basement, 43-49 Hardware Lane, Melbourne, 3000",Nightclub,http://khokolatbar.com.au/,-37.81359471929996,144.96117047987784,POINT (144.961170479878 -37.8135947193)
587676,Father's Office,"249 Little Lonsdale Street, Melbourne, 3000",Bar,http://fathersoffice.com.au/,-37.81051763850372,144.9646508376141,POINT (144.964650837614 -37.810517638504)
562238,Manchuria,"Level 1, 7-9 Waratah Place, Melbourne, 3000",Bar,http://www.manchuriabar.com/,-37.811626300807845,144.96709845288777,POINT (144.967098452888 -37.811626300808)
681851,The Irish Times Pub,"Gnd & Flr1, 427 Little Collins Street, Melbourne, 3000",Bar,http://theirishtimespub.com.au/,-37.81619295477831,144.960463460251,POINT (144.960463460251 -37.816192954778)
561179,El Coco,"Ground, 120 King Street, Melbourne, 3000",Nightclub,http://elcoco.com.au/,-37.81726434461992,144.95638356625756,POINT (144.956383566258 -37.81726434462)
614233,Transit Rooftop Bar,"Tenancy 29, Level 2, 2 Swanston Street, Melbourne, 3000",Hotel,https://transitrooftopbar.com.au/,-37.81828956913258,144.96896893362114,POINT (144.968968933621 -37.818289569133)
606667,Building 8,"Building 8, RMIT University, 360 Swanston Street, Melbourne, 3000",Multi-use,https://www.rmit.edu.au/,-37.80877875813838,144.96362521955905,POINT (144.963625219559 -37.808778758138)
657233,The Toff in Town,"Unit S3-S4, Level 2, 252 Swanston Street, Melbourne, 3000",Venue,https://www.thetoffintown.com/,-37.81204362060309,144.96521148704275,POINT (144.965211487043 -37.812043620603)
660010,Vamos,"Level 1, 37-41 Little Bourke Street, Melbourne, 3000",Bar,http://www.vamos.net.au/,-37.810747836953425,144.97146559576274,POINT (144.971465595763 -37.810747836953)
540126,Left Bank Melbourne,"Ground, 1 Southbank Boulevard, Southbank, 3006",Bar,http://www.leftbankmelbourne.com.au/,-37.820988535980156,144.9625166793894,POINT (144.962516679389 -37.82098853598)
108987,The Princess Theatre,"163-181 Spring Street, Melbourne, 3000",Theatre,https://marrinergroup.com.au/venues/princess-theatre,-37.810683700820334,144.97255452673397,POINT (144.972554526734 -37.81068370082)
622017,Shed 14/Peninsula,"161 Harbour Esplanade, Docklands, 3008",Performance space,https://www.residentadvisor.net/club.aspx?id=14337,-37.81596806067532,144.94497289363386,POINT (144.944972893634 -37.815968060675)
620270,Melbourne Recital Centre,"Melbourne Recital Centre, 31 Sturt Street, Southbank, 3006",Performance space,https://www.melbournerecital.com.au/,-37.82430328303502,144.9672846102551,POINT (144.967284610255 -37.824303283035)
110111,Royal Standard Hotel,"333-337 William Street, West Melbourne, 3003",Hotel,http://www.royalstandardhotel.com.au/,-37.80777173629092,144.9544061811974,POINT (144.954406181197 -37.807771736291)
110273,Melbourne Zoo,"Elliott Avenue, Parkville, 3052",Performance space,https://www.zoo.org.au/melbourne,-37.78535415162557,144.9531734126854,POINT (144.953173412685 -37.785354151626)
108536,The Crafty Squire,"115-127 Russell Street, Melbourne, 3000",Hotel,http://www.thecraftysquire.com.au/,-37.81364054478455,144.96829657234807,POINT (144.968296572348 -37.813640544785)
538247,Gin Palace,"10 Russell Place, Melbourne, 3000",Bar,http://www.ginpalace.com.au/,-37.81385598389118,144.96744878525442,POINT (144.967448785254 -37.813855983891)
512713,Kathleen Syme Library and Community Centre,"251 Faraday Street, Carlton, 3053",Multi-use,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/kathleen-syme-library-and-community-centre/Pages/kathleen-syme-library.aspx,-37.79861750965004,144.9654893886899,POINT (144.96548938869 -37.79861750965)
559514,Arrow On Swanston,"488 Swanston Street, Carlton, 3053",Venue,http://www.arrowonswanston.com.au/,-37.805459370954416,144.96327549662402,POINT (144.963275496624 -37.805459370954)
102153,Assembly Hall,"156 Collins Street, Melbourne, 3000",Performance space,http://www.hallsforhire.com.au/halls/the-assembly-hall,-37.8148247935781,144.96831819904696,POINT (144.968318199047 -37.814824793578)
614000,Rod Laver Arena,"Rod Laver Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004",Performance space,https://www.rodlaverarena.com.au/,-37.82258727739611,144.97777394537906,POINT (144.977773945379 -37.822587277396)
103389,Melbourne Showgrounds,"300 Epsom Road, Flemington, 3032",Amusement/Theme Venue,https://www.melbourneshowgrounds.com/,-37.78040735195738,144.91437999700486,POINT (144.914379997005 -37.780407351957)
560714,West Space Inc,"Level 1, 225 Bourke Street, Melbourne, 3000",Multi-use,https://westspace.org.au/,-37.81328852220956,144.96695028225128,POINT (144.966950282251 -37.81328852221)
536033,Soho Restaurant and Bar,"Ground, 4 Riverside Quay, Southbank, 3006",,,-37.821090034747975,144.96358553751085,POINT (144.963585537511 -37.821090034748)
110106,The Metropolitan Hotel,"The Metropolitan Hotel, 263-265 William Street, Melbourne, 3000",Hotel,http://metropolitan.melbourne/,-37.812911404982586,144.95676240471337,POINT (144.956762404713 -37.812911404983)
575245,Ferdydurke,"Level 1-2, 239 Lonsdale Street, Melbourne, 3000",Bar,http://www.ferdydurke.com.au/,-37.811527225540964,144.96535317015017,POINT (144.96535317015 -37.811527225541)
108983,The Hotel Windsor,"103-137 Spring Street, Melbourne, 3000",Hotel,http://www.thehotelwindsor.com.au/,-37.81195937492122,144.97313628316482,POINT (144.973136283165 -37.811959374921)
